Overall Rank,Country,Region,Score,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
61,Belarus,Central and Eastern Europe,5.802,1.13062,0.63104,0.29091,0.13942,0.17457
62,North Cyprus,Western Europe,5.771,1.31141,0.84142,0.43596,0.26322,0.16578
63,Slovenia,Central and Eastern Europe,5.768,1.29947,0.79151,0.53164,0.25738,0.03635
64,Peru,Latin America and Caribbean,5.743,0.99602,0.62994,0.37502,0.14527,0.05292
65,Turkmenistan,Central and Eastern Europe,5.658,1.08017,0.44006,0.37408,0.22567,0.28467
66,Mauritius,Sub-Saharan Africa,5.648,1.14372,0.66189,0.46145,0.36951,0.05203
67,Libya,Middle East and Northern Africa,5.615,1.06688,0.52304,0.40672,0.17087,0.10339
68,Latvia,Central and Eastern Europe,5.56,1.21788,0.63952,0.27996,0.17445,0.0889
69,Cyprus,Western Europe,5.546,1.31857,0.8488,0.29507,0.27906,0.05228
70,Paraguay,Latin America and Caribbean,5.538,0.89373,0.58295,0.46235,0.25296,0.07396
71,Romania,Central and Eastern Europe,5.528,1.1697,0.67602,0.36712,0.12889,0.00679
72,Estonia,Central and Eastern Europe,5.517,1.27964,0.68098,0.41511,0.08423,0.18519
73,Jamaica,Latin America and Caribbean,5.51,0.89333,0.59469,0.43597,0.22245,0.04294
74,Croatia,Central and Eastern Europe,5.488,1.18649,0.70524,0.23907,0.18434,0.04002
75,Hong Kong,Eastern Asia,5.458,1.5107,0.95277,0.48079,0.40097,0.31647
76,Somalia,Sub-Saharan Africa,5.44,0,0.11466,0.56778,0.27225,0.3118
77,Kosovo,Central and Eastern Europe,5.401,0.90145,0.54,0.14396,0.27992,0.06547
78,Turkey,Middle East and Northern Africa,5.389,1.16492,0.64718,0.23889,0.04707,0.12348
79,Indonesia,Southeastern Asia,5.314,0.95104,0.49374,0.39237,0.56521,0.00322
80,Jordan,Middle East and Northern Africa,5.303,0.99673,0.60712,0.36023,0.14262,0.13297
81,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.54504,0.35327,0.0564,0.17914
82,Philippines,Southeastern Asia,5.279,0.81217,0.47036,0.54854,0.21674,0.11757
83,China,Eastern Asia,5.245,1.0278,0.73561,0.44012,0.04959,0.02745
84,Bhutan,Southern Asia,5.196,0.8527,0.49759,0.46074,0.48546,0.1616
85,Kyrgyzstan,Central and Eastern Europe,5.185,0.56044,0.55449,0.40212,0.38432,0.04762
86,Serbia,Central and Eastern Europe,5.177,1.03437,0.6458,0.15718,0.20737,0.04339
87,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.70766,0.09511,0.29889,0
88,Montenegro,Central and Eastern Europe,5.161,1.07838,0.63533,0.15111,0.17191,0.12721
